"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","24,100","23,700","25,560","23,700","1,74M","1,18%"
"29.11.2020","23,820","24,100","26,360","23,700","30,32M","-0,67%"
"22.11.2020","23,980","23,900","24,700","22,960","18,65M","0,67%"
"15.11.2020","23,820","23,960","25,060","23,280","16,46M","0,17%"
"08.11.2020","23,780","25,600","25,620","23,000","29,87M","1,62%"
"01.11.2020","23,400","21,740","24,800","21,500","26,42M","8,84%"
"25.10.2020","21,500","23,180","26,340","20,940","54,70M","-6,11%"
"18.10.2020","22,900","20,520","23,720","20,480","38,88M","13,25%"
"11.10.2020","20,220","19,830","21,680","19,740","30,70M","2,28%"
"04.10.2020","19,770","18,680","20,220","18,600","18,81M","6,63%"
"27.09.2020","18,540","18,760","18,920","18,280","11,76M","-1,17%"
"20.09.2020","18,760","19,310","19,410","18,720","9,30M","-3,00%"
"13.09.2020","19,340","19,190","20,240","19,090","21,46M","1,42%"
"06.09.2020","19,070","18,730","19,500","18,700","20,06M","1,87%"
"30.08.2020","18,720","19,510","21,060","18,620","29,84M","-2,80%"
"23.08.2020","19,260","19,760","19,980","18,980","17,09M","-2,43%"
"16.08.2020","19,740","21,680","22,300","19,580","22,30M","-12,96%"
"09.08.2020","22,680","21,400","23,300","21,020","34,44M","6,68%"
"02.08.2020","21,260","21,120","23,780","18,900","43,65M","0,66%"
"26.07.2020","21,120","20,500","22,880","18,960","23,48M","3,63%"
"19.07.2020","20,380","20,300","21,380","19,700","14,00M","0,79%"
"12.07.2020","20,220","19,520","20,520","19,310","7,79M","5,31%"
"05.07.2020","19,200","20,060","20,700","18,940","12,89M","-3,27%"
"28.06.2020","19,850","19,050","20,660","19,000","17,05M","4,20%"
"21.06.2020","19,050","19,450","20,200","18,770","15,93M","-1,30%"
"14.06.2020","19,300","18,430","21,880","18,220","41,72M","6,63%"
"07.06.2020","18,100","18,450","19,170","17,700","15,25M","-1,36%"
"31.05.2020","18,350","18,780","19,900","18,110","8,52M","-2,29%"
"24.05.2020","18,780","17,980","19,150","17,700","3,48M","5,80%"
"17.05.2020","17,750","18,800","18,830","17,040","5,19M","-6,08%"
"10.05.2020","18,900","15,840","20,840","15,840","10,67M","31,25%"
"03.05.2020","14,400","14,580","16,030","13,130","12,43M","-11,11%"
"26.04.2020","16,200","15,770","19,070","15,770","17,43M","12,19%"
"19.04.2020","14,440","10,880","14,440","10,730","45,32M","32,97%"
"12.04.2020","10,860","10,120","11,640","9,770","38,55M","7,31%"
"05.04.2020","10,120","10,140","10,550","9,700","30,06M","1,00%"
"29.03.2020","10,020","11,400","11,690","9,510","42,99M","-10,30%"
"22.03.2020","11,170","8,480","12,520","8,100","79,86M","31,41%"
"15.03.2020","8,500","9,920","10,120","7,000","31,50M","-11,18%"
"08.03.2020","9,570","9,700","11,920","8,250","81,22M","-0,62%"
"01.03.2020","9,630","9,500","10,060","9,220","4,05M","3,10%"
"23.02.2020","9,340","10,600","10,810","8,110","4,10M","-12,95%"
"16.02.2020","10,730","11,360","11,480","10,240","5,73M","-4,96%"
"09.02.2020","11,290","11,360","11,450","10,620","6,28M","-0,79%"
"02.02.2020","11,380","11,250","11,800","11,040","7,47M","1,43%"
"26.01.2020","11,220","10,600","11,440","10,550","10,50M","5,95%"
"19.01.2020","10,590","9,300","10,710","9,240","9,16M","15,11%"
"12.01.2020","9,200","8,900","9,450","8,870","6,13M","4,31%"
"05.01.2020","8,820","8,760","9,000","8,310","4,25M","0,46%"
"29.12.2019","8,780","9,000","9,220","8,540","3,54M","-1,79%"
"22.12.2019","8,940","8,340","9,080","8,260","5,33M","7,19%"
"15.12.2019","8,340","8,630","8,700","8,060","4,04M","-3,14%"
