"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","2,620","2,680","2,690","2,560","11,75M","-2,24%"
"29.11.2020","2,680","2,650","2,720","2,570","131,71M","-0,37%"
"22.11.2020","2,690","2,670","2,760","2,570","166,65M","1,13%"
"15.11.2020","2,660","2,720","2,750","2,540","151,15M","-0,75%"
"08.11.2020","2,680","2,730","2,820","2,550","187,42M","-0,74%"
"01.11.2020","2,700","2,530","2,760","2,490","149,17M","7,14%"
"25.10.2020","2,520","2,840","2,840","2,410","98,86M","-12,20%"
"18.10.2020","2,870","2,720","3,380","2,720","513,10M","6,30%"
"11.10.2020","2,700","2,640","2,800","2,630","181,65M","3,05%"
"04.10.2020","2,620","2,460","2,660","2,440","147,09M","6,07%"
"27.09.2020","2,470","2,460","2,530","2,410","84,61M","0,00%"
"20.09.2020","2,470","2,610","2,610","2,470","129,51M","-5,36%"
"13.09.2020","2,610","2,680","3,000","2,590","360,12M","-1,88%"
"06.09.2020","2,660","2,660","2,920","2,600","162,16M","0,76%"
"30.08.2020","2,640","2,660","2,740","2,490","93,06M","-0,38%"
"23.08.2020","2,650","2,480","2,820","2,470","38,02M","6,85%"
"16.08.2020","2,480","2,700","2,710","2,470","19,99M","-8,82%"
"09.08.2020","2,720","2,880","3,140","2,430","243,18M","-5,23%"
"02.08.2020","2,870","2,860","3,070","2,370","412,70M","2,50%"
"26.07.2020","2,800","2,650","2,860","2,550","233,08M","6,46%"
"19.07.2020","2,630","2,870","3,140","2,560","269,15M","-8,04%"
"12.07.2020","2,860","2,570","3,020","2,570","228,23M","17,21%"
"05.07.2020","2,440","2,840","2,860","2,260","204,16M","-13,17%"
"28.06.2020","2,810","2,530","2,930","2,520","484,13M","12,40%"
"21.06.2020","2,500","2,120","2,610","2,120","421,51M","21,36%"
"14.06.2020","2,060","2,000","2,150","1,980","128,44M","1,98%"
"07.06.2020","2,020","2,010","2,110","1,970","126,02M","0,50%"
"31.05.2020","2,010","1,960","2,190","1,940","174,59M","3,61%"
"24.05.2020","1,940","1,910","2,030","1,890","138,18M","3,74%"
"17.05.2020","1,870","1,890","1,930","1,840","76,11M","0,54%"
"10.05.2020","1,860","1,820","1,940","1,750","192,90M","3,91%"
"03.05.2020","1,790","1,620","1,910","1,590","198,47M","8,48%"
"26.04.2020","1,650","1,530","1,770","1,530","174,16M","9,27%"
"19.04.2020","1,510","1,490","1,560","1,460","80,34M","3,42%"
"12.04.2020","1,460","1,370","1,570","1,370","172,49M","3,55%"
"05.04.2020","1,410","1,300","1,450","1,280","137,00M","11,02%"
"29.03.2020","1,270","1,190","1,330","1,140","139,67M","10,43%"
"22.03.2020","1,150","1,020","1,260","0,990","128,05M","8,49%"
"15.03.2020","1,060","1,130","1,200","0,990","62,86M","-13,11%"
"08.03.2020","1,220","1,840","1,870","1,050","119,82M","-36,79%"
"01.03.2020","1,930","1,900","2,130","1,860","142,20M","7,22%"
"23.02.2020","1,800","2,070","2,160","1,520","152,42M","-15,89%"
"16.02.2020","2,140","2,270","2,320","1,940","110,30M","-5,31%"
"09.02.2020","2,260","2,300","2,380","2,030","128,87M","-1,74%"
"02.02.2020","2,300","2,150","2,620","2,100","234,96M","8,49%"
"26.01.2020","2,120","2,060","2,390","2,040","290,77M","1,44%"
"19.01.2020","2,090","1,790","2,170","1,760","358,19M","18,08%"
"12.01.2020","1,770","1,700","1,790","1,670","156,31M","5,99%"
"05.01.2020","1,670","1,650","1,700","1,510","121,76M","-0,60%"
"29.12.2019","1,680","1,610","1,770","1,610","137,19M","5,00%"
"22.12.2019","1,600","1,730","1,740","1,550","116,85M","-7,51%"
"15.12.2019","1,730","1,720","1,830","1,700","132,04M","1,17%"
