"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","7,090","7,040","7,530","7,030","17,08M","1,14%"
"29.11.2020","7,010","6,970","7,490","6,970","283,74M","1,30%"
"22.11.2020","6,920","6,920","7,150","6,760","194,58M","0,44%"
"15.11.2020","6,890","6,940","7,200","6,780","151,18M","0,00%"
"08.11.2020","6,890","7,180","7,230","6,570","144,38M","-3,37%"
"01.11.2020","7,130","6,600","7,330","6,530","307,78M","8,52%"
"25.10.2020","6,570","7,240","7,740","6,480","344,39M","-8,11%"
"18.10.2020","7,150","7,010","7,300","6,930","194,57M","2,58%"
"11.10.2020","6,970","6,760","7,590","6,700","440,51M","3,57%"
"04.10.2020","6,730","6,750","6,890","6,640","105,44M","0,00%"
"27.09.2020","6,730","6,670","7,030","6,620","110,82M","0,60%"
"20.09.2020","6,690","6,640","6,820","6,580","88,05M","1,06%"
"13.09.2020","6,620","6,650","7,050","6,610","218,90M","0,00%"
"06.09.2020","6,620","6,180","6,740","6,180","168,63M","7,82%"
"30.08.2020","6,140","5,770","6,350","5,740","157,18M","6,41%"
"23.08.2020","5,770","5,790","5,920","5,600","83,72M","0,17%"
"16.08.2020","5,760","5,760","5,880","5,630","70,83M","0,17%"
"09.08.2020","5,750","5,880","6,100","5,700","157,76M","-2,71%"
"02.08.2020","5,910","6,380","6,440","5,510","248,96M","-6,34%"
"26.07.2020","6,310","6,330","6,600","5,940","162,00M","0,48%"
"19.07.2020","6,280","6,390","6,740","6,260","122,93M","-1,72%"
"12.07.2020","6,390","6,320","6,680","6,270","84,51M","2,57%"
"05.07.2020","6,230","6,470","7,100","6,080","222,31M","-2,96%"
"28.06.2020","6,420","6,170","6,690","6,100","207,48M","4,39%"
"21.06.2020","6,150","5,970","6,510","5,860","248,64M","3,54%"
"14.06.2020","5,940","5,980","6,580","5,910","347,68M","1,54%"
"07.06.2020","5,850","5,660","6,110","5,580","215,36M","3,36%"
"31.05.2020","5,660","5,650","5,850","5,600","181,50M","0,71%"
"24.05.2020","5,620","5,820","5,950","5,580","84,81M","-1,40%"
"17.05.2020","5,700","6,040","6,110","5,530","206,13M","-1,21%"
"10.05.2020","5,770","4,700","6,550","4,650","614,83M","28,51%"
"03.05.2020","4,490","4,750","4,940","4,480","124,66M","-6,07%"
"26.04.2020","4,780","4,950","5,360","4,670","491,20M","-0,83%"
"19.04.2020","4,820","4,590","5,020","4,490","491,59M","5,47%"
"12.04.2020","4,570","4,408","4,940","4,270","451,24M","1,78%"
"05.04.2020","4,490","4,530","4,670","4,220","289,97M","0,67%"
"29.03.2020","4,460","5,190","5,340","4,180","399,21M","-12,20%"
"22.03.2020","5,080","3,350","5,290","3,340","311,02M","53,01%"
"15.03.2020","3,320","4,270","4,330","2,930","251,23M","-18,23%"
"08.03.2020","4,060","3,720","4,880","3,330","269,11M","5,45%"
"01.03.2020","3,850","3,910","4,070","3,750","40,83M","0,79%"
"23.02.2020","3,820","4,050","4,310","3,150","64,05M","-6,83%"
"16.02.2020","4,100","4,350","4,450","3,970","90,32M","-4,87%"
"09.02.2020","4,310","4,150","4,320","3,940","77,30M","3,61%"
"02.02.2020","4,160","4,180","4,310","4,150","89,26M","-0,48%"
"26.01.2020","4,180","4,140","4,350","4,050","126,09M","-0,24%"
"19.01.2020","4,190","3,980","4,300","3,960","185,71M","5,54%"
"12.01.2020","3,970","3,960","4,020","3,840","126,59M","1,28%"
"05.01.2020","3,920","3,610","3,950","3,530","75,05M","6,81%"
"29.12.2019","3,670","3,690","3,790","3,560","51,85M","-0,27%"
"22.12.2019","3,680","3,690","3,850","3,660","97,35M","-0,27%"
"15.12.2019","3,690","3,720","3,830","3,560","117,48M","-0,27%"
