"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","7,210","7,140","7,330","7,100","5,36M","0,98%"
"29.11.2020","7,140","7,020","7,320","6,970","19,67M","1,28%"
"22.11.2020","7,050","7,220","7,280","7,040","14,36M","-2,22%"
"15.11.2020","7,210","7,300","7,400","7,170","14,31M","-0,96%"
"08.11.2020","7,280","7,690","7,820","7,210","21,23M","-4,21%"
"01.11.2020","7,600","7,210","7,660","7,150","26,35M","5,41%"
"25.10.2020","7,210","7,100","7,320","6,970","17,11M","0,84%"
"18.10.2020","7,150","7,250","7,340","7,100","16,43M","-0,56%"
"11.10.2020","7,190","7,150","7,320","7,000","17,09M","0,56%"
"04.10.2020","7,150","6,930","7,340","6,900","23,47M","3,92%"
"27.09.2020","6,880","6,750","7,100","6,690","15,14M","1,93%"
"20.09.2020","6,750","7,180","7,180","6,690","17,61M","-6,25%"
"13.09.2020","7,200","6,670","7,200","6,650","15,67M","8,11%"
"06.09.2020","6,660","6,600","6,760","6,600","10,52M","1,06%"
"30.08.2020","6,590","6,490","6,670","6,370","15,54M","1,54%"
"23.08.2020","6,490","6,620","6,660","6,480","19,66M","-1,96%"
"16.08.2020","6,620","6,490","7,130","6,420","43,12M","2,64%"
"09.08.2020","6,450","6,280","6,800","6,180","51,02M","0,94%"
"02.08.2020","6,390","6,600","6,600","5,830","32,21M","-1,54%"
"26.07.2020","6,490","6,520","6,580","6,160","29,00M","0,62%"
"19.07.2020","6,450","6,320","6,880","6,190","82,90M","2,22%"
"12.07.2020","6,310","6,120","6,450","6,040","28,64M","5,70%"
"05.07.2020","5,970","6,280","6,710","5,760","60,61M","-4,02%"
"28.06.2020","6,220","6,130","6,420","6,090","33,58M","1,14%"
"21.06.2020","6,150","5,990","6,510","5,940","68,14M","4,24%"
"14.06.2020","5,900","5,560","6,010","5,530","54,58M","5,92%"
"07.06.2020","5,570","5,530","5,640","5,500","32,57M","1,09%"
"31.05.2020","5,510","5,500","5,550","5,420","16,66M","0,36%"
"24.05.2020","5,490","5,560","5,730","5,490","9,51M","0,14%"
"17.05.2020","5,482","5,598","5,598","5,446","7,29M","-0,81%"
"10.05.2020","5,527","5,554","5,679","5,491","8,83M","-0,32%"
"03.05.2020","5,545","5,393","5,607","5,357","7,72M","2,64%"
"26.04.2020","5,402","5,679","5,705","5,402","6,49M","-3,97%"
"19.04.2020","5,625","5,804","5,929","5,562","9,08M","-2,78%"
"12.04.2020","5,786","5,652","6,107","5,321","14,24M","2,37%"
"05.04.2020","5,652","5,217","5,695","5,217","6,93M","9,06%"
"29.03.2020","5,182","4,921","5,504","4,869","6,43M","4,75%"
"22.03.2020","4,947","4,939","5,278","4,852","9,42M","0,18%"
"15.03.2020","4,939","5,078","5,086","4,834","10,62M","-3,73%"
"08.03.2020","5,130","5,738","5,738","4,765","13,11M","-12,98%"
"01.03.2020","5,895","5,634","6,330","5,425","12,72M","5,44%"
"23.02.2020","5,591","5,730","5,912","5,095","12,67M","-3,02%"
"16.02.2020","5,765","5,869","6,034","5,591","14,10M","-1,34%"
"09.02.2020","5,843","5,921","5,921","5,573","13,37M","-1,47%"
"02.02.2020","5,930","6,191","6,191","5,886","12,20M","-3,26%"
"26.01.2020","6,130","5,808","6,147","5,747","12,51M","5,54%"
"19.01.2020","5,808","5,643","5,886","5,643","11,26M","2,45%"
"12.01.2020","5,669","5,599","5,808","5,599","10,28M","1,40%"
"05.01.2020","5,591","5,530","5,695","5,399","8,72M","0,31%"
"29.12.2019","5,573","5,478","5,652","5,469","8,14M","2,07%"
"22.12.2019","5,460","5,365","5,538","5,330","10,00M","-11,50%"
"15.12.2019","6,170","6,100","6,320","6,030","17,06M","1,65%"
