"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","33,44","33,00","35,98","31,52","1,27M","1,83%"
"29.11.2020","32,84","30,08","34,14","27,30","9,71M","8,81%"
"22.11.2020","30,18","26,00","31,40","25,00","14,32M","19,67%"
"15.11.2020","25,22","23,44","25,22","22,02","3,11M","10,13%"
"08.11.2020","22,90","23,64","24,90","22,70","2,99M","-1,72%"
"01.11.2020","23,30","22,98","23,70","21,52","2,69M","2,28%"
"25.10.2020","22,78","26,36","26,88","22,04","3,76M","-13,32%"
"18.10.2020","26,28","26,56","26,98","25,06","4,86M","4,62%"
"11.10.2020","25,12","25,54","27,96","25,04","4,98M","-1,41%"
"04.10.2020","25,48","24,78","26,48","24,72","3,27M","4,00%"
"27.09.2020","24,50","25,18","25,42","23,84","2,86M","-2,31%"
"20.09.2020","25,08","25,80","26,00","23,38","3,15M","-2,03%"
"13.09.2020","25,60","26,34","28,50","25,38","5,95M","-3,03%"
"06.09.2020","26,40","22,48","26,90","22,48","6,59M","18,81%"
"30.08.2020","22,22","21,54","24,10","20,62","4,47M","6,01%"
"23.08.2020","20,96","20,00","21,10","19,73","1,50M","5,33%"
"16.08.2020","19,90","19,64","20,62","19,62","1,69M","1,43%"
"09.08.2020","19,62","17,90","21,70","17,44","2,55M","9,00%"
"02.08.2020","18,00","21,40","21,50","15,49","2,07M","-14,61%"
"26.07.2020","21,08","23,36","24,32","20,80","2,69M","-7,95%"
"19.07.2020","22,90","21,60","24,00","20,78","5,62M","6,51%"
"12.07.2020","21,50","19,12","22,46","19,12","2,42M","14,61%"
"05.07.2020","18,76","19,00","20,82","18,06","2,87M","-0,21%"
"28.06.2020","18,80","17,33","19,20","17,24","3,63M","8,55%"
"21.06.2020","17,32","17,17","17,50","17,01","1,74M","1,41%"
"14.06.2020","17,08","16,65","17,52","16,62","2,39M","1,67%"
"07.06.2020","16,80","16,52","17,24","16,34","2,61M","2,07%"
"31.05.2020","16,46","15,50","16,92","15,44","3,39M","6,68%"
"24.05.2020","15,43","15,94","16,45","15,27","1,26M","-2,09%"
"17.05.2020","15,76","15,35","16,25","15,25","2,16M","3,75%"
"10.05.2020","15,19","14,80","16,30","14,29","3,49M","3,69%"
"03.05.2020","14,65","15,60","16,98","14,20","7,08M","-6,21%"
"26.04.2020","15,62","13,33","15,62","13,33","3,76M","18,24%"
"19.04.2020","13,21","12,74","13,31","12,66","1,37M","4,26%"
"12.04.2020","12,67","12,53","13,04","12,30","1,99M","0,88%"
"05.04.2020","12,56","11,73","12,71","11,64","2,92M","9,03%"
"29.03.2020","11,52","10,35","12,00","10,26","2,77M","9,71%"
"22.03.2020","10,50","10,00","11,18","9,58","2,38M","4,27%"
"15.03.2020","10,07","10,70","10,92","9,28","849,56K","-9,52%"
"08.03.2020","11,13","13,59","13,59","10,33","1,07M","-19,41%"
"01.03.2020","13,81","14,05","14,85","13,71","692,16K","-1,00%"
"23.02.2020","13,95","15,80","16,08","11,91","1,01M","-12,37%"
"16.02.2020","15,92","17,32","17,55","15,29","1,16M","-7,55%"
"09.02.2020","17,22","18,35","18,37","16,85","934,27K","-5,33%"
"02.02.2020","18,19","18,30","19,10","17,97","905,07K","-0,60%"
"26.01.2020","18,30","17,90","19,50","17,86","2,01M","0,05%"
"19.01.2020","18,29","18,25","19,05","18,01","1,12M","0,77%"
"12.01.2020","18,15","17,26","18,74","17,26","1,90M","5,65%"
"05.01.2020","17,18","16,74","17,50","15,72","1,34M","1,30%"
"29.12.2019","16,96","17,60","18,20","16,55","1,69M","-3,31%"
"22.12.2019","17,54","17,06","17,84","17,03","1,33M","3,79%"
"15.12.2019","16,90","17,77","18,11","16,61","1,40M","-3,59%"
