"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","7,230","7,000","7,320","6,850","419,31M","3,29%"
"29.11.2020","7,000","6,800","7,060","6,590","778,81M","1,74%"
"22.11.2020","6,880","7,130","7,260","6,850","929,52M","-1,99%"
"15.11.2020","7,020","6,860","7,050","6,560","837,50M","3,08%"
"08.11.2020","6,810","6,690","6,990","6,670","943,70M","3,18%"
"01.11.2020","6,600","6,160","6,670","6,140","969,75M","7,67%"
"25.10.2020","6,130","6,750","6,750","6,110","494,78M","-9,99%"
"18.10.2020","6,810","6,810","7,060","6,760","925,01M","0,44%"
"11.10.2020","6,780","6,940","6,990","6,720","726,87M","-1,88%"
"04.10.2020","6,910","7,080","7,110","6,690","977,72M","-1,85%"
"27.09.2020","7,040","7,180","8,060","6,870","2,61B","-0,42%"
"20.09.2020","7,070","6,400","7,100","6,390","1,57B","10,64%"
"13.09.2020","6,390","6,240","6,480","6,240","555,29M","2,57%"
"06.09.2020","6,230","6,280","6,350","6,190","472,37M","-0,48%"
"30.08.2020","6,260","6,140","6,350","6,000","912,21M","1,95%"
"23.08.2020","6,140","6,210","6,420","5,950","747,92M","-0,97%"
"16.08.2020","6,200","6,000","6,370","5,890","647,30M","3,68%"
"09.08.2020","5,980","5,990","6,500","5,830","641,49M","-0,83%"
"02.08.2020","6,030","5,920","6,320","5,500","985,26M","4,51%"
"26.07.2020","5,770","6,480","6,500","5,740","294,24M","-10,68%"
"19.07.2020","6,460","6,220","6,680","6,180","688,25M","4,19%"
"12.07.2020","6,200","6,210","6,420","6,140","481,75M","1,31%"
"05.07.2020","6,120","6,040","6,820","5,860","1,57B","6,62%"
"28.06.2020","5,740","5,440","5,950","5,410","389,77M","5,51%"
"21.06.2020","5,440","5,220","5,620","5,200","330,98M","5,02%"
"14.06.2020","5,180","4,970","5,340","4,960","216,92M","3,39%"
"07.06.2020","5,010","5,120","5,170","4,940","103,22M","-1,96%"
"31.05.2020","5,110","4,890","5,180","4,880","111,65M","5,58%"
"24.05.2020","4,840","4,957","4,976","4,840","34,47M","-3,78%"
"17.05.2020","5,030","4,810","5,140","4,810","60,99M","5,01%"
"10.05.2020","4,790","4,810","4,950","4,740","42,05M","-0,21%"
"03.05.2020","4,800","4,790","4,890","4,760","53,12M","-1,03%"
"26.04.2020","4,850","5,180","5,240","4,780","79,38M","-6,37%"
"19.04.2020","5,180","4,910","5,310","4,880","76,76M","5,50%"
"12.04.2020","4,910","4,600","4,940","4,530","93,29M","6,51%"
"05.04.2020","4,610","4,260","4,650","4,210","111,27M","10,29%"
"29.03.2020","4,180","3,940","4,320","3,880","126,71M","5,82%"
"22.03.2020","3,950","3,740","4,070","3,690","156,35M","1,54%"
"15.03.2020","3,890","3,850","4,010","3,480","110,10M","-3,47%"
"08.03.2020","4,030","4,650","4,690","3,760","149,04M","-16,56%"
"01.03.2020","4,830","4,960","5,100","4,800","156,49M","0,00%"
"23.02.2020","4,830","5,100","5,250","4,450","219,93M","-6,94%"
"16.02.2020","5,190","5,510","5,520","5,100","254,44M","-5,12%"
"09.02.2020","5,470","5,520","5,610","5,330","356,80M","-1,08%"
"02.02.2020","5,530","5,640","5,830","5,500","579,72M","-0,54%"
"26.01.2020","5,560","5,110","5,750","4,920","714,80M","7,34%"
"19.01.2020","5,180","5,400","5,440","5,160","217,87M","-3,72%"
"12.01.2020","5,380","5,360","5,520","5,340","405,39M","1,32%"
"05.01.2020","5,310","5,240","5,340","4,960","292,19M","0,76%"
"29.12.2019","5,270","5,310","5,380","5,170","242,30M","-0,38%"
"22.12.2019","5,290","5,250","5,430","5,240","262,55M","1,15%"
"15.12.2019","5,230","5,020","5,260","4,980","301,05M","4,60%"
