"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"11.12.2020","12,410","12,140","12,420","11,870","94,52M","1,64%"
"10.12.2020","12,210","12,350","12,380","12,150","63,91M","-0,73%"
"09.12.2020","12,300","12,340","12,450","12,280","83,25M","0,74%"
"08.12.2020","12,210","12,300","12,520","12,210","98,67M","-0,49%"
"07.12.2020","12,270","12,110","12,410","12,080","95,52M","0,82%"
"04.12.2020","12,170","12,250","12,310","12,170","68,69M","-0,16%"
"03.12.2020","12,190","12,270","12,390","12,150","109,58M","-0,49%"
"02.12.2020","12,250","12,380","12,640","12,250","351,53M","-2,00%"
"01.12.2020","12,500","11,510","12,540","11,500","273,28M","9,65%"
"30.11.2020","11,400","11,770","11,770","11,400","101,70M","-4,44%"
"27.11.2020","11,930","12,210","12,220","11,880","107,69M","-2,21%"
"26.11.2020","12,200","12,310","12,360","12,020","174,50M","1,75%"
"25.11.2020","11,990","11,980","12,360","11,890","359,98M","1,35%"
"24.11.2020","11,830","11,920","12,040","11,770","170,79M","0,77%"
"23.11.2020","11,740","12,040","12,190","11,730","198,88M","-1,18%"
"20.11.2020","11,880","11,760","12,120","11,760","166,09M","1,45%"
"19.11.2020","11,710","11,710","11,910","11,600","134,12M","0,09%"
"18.11.2020","11,700","11,470","11,800","11,470","127,60M","2,01%"
"17.11.2020","11,470","11,710","11,790","11,450","125,29M","-2,63%"
"16.11.2020","11,780","11,600","12,200","11,540","334,88M","2,43%"
"13.11.2020","11,500","11,650","11,740","11,430","94,12M","-1,29%"
"12.11.2020","11,650","11,760","12,150","11,600","314,82M","-1,10%"
"11.11.2020","11,780","11,590","12,050","11,260","317,68M","2,43%"
