"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","7,94","7,83","8,09","7,67","25,31M","0,76%"
"29.11.2020","7,88","7,67","7,89","7,54","146,37M","2,74%"
"22.11.2020","7,67","8,18","8,29","7,64","135,61M","-5,31%"
"15.11.2020","8,10","8,09","8,22","7,42","227,96M","1,12%"
"08.11.2020","8,01","6,92","8,08","6,92","319,27M","17,97%"
"01.11.2020","6,79","6,43","6,93","6,43","146,60M","5,60%"
"25.10.2020","6,43","7,26","7,27","6,32","82,43M","-12,75%"
"18.10.2020","7,37","7,56","7,93","7,27","140,82M","-1,99%"
"11.10.2020","7,52","7,28","7,58","7,26","95,49M","3,58%"
"04.10.2020","7,26","7,18","7,44","7,09","89,45M","1,26%"
"27.09.2020","7,17","7,12","7,23","6,92","101,46M","0,70%"
"20.09.2020","7,12","6,84","7,16","6,69","125,12M","3,79%"
"13.09.2020","6,86","6,95","7,01","6,85","53,26M","-1,15%"
"06.09.2020","6,94","6,95","7,04","6,92","69,10M","0,14%"
"30.08.2020","6,93","6,90","7,15","6,74","104,98M","-0,14%"
"23.08.2020","6,94","7,12","7,15","6,79","128,40M","-2,39%"
"16.08.2020","7,11","6,99","7,27","6,71","257,60M","2,01%"
"09.08.2020","6,97","6,83","7,82","6,74","214,95M","0,14%"
"02.08.2020","6,96","7,35","7,48","6,49","114,94M","-3,87%"
"26.07.2020","7,24","7,93","8,14","7,24","95,13M","-9,95%"
"19.07.2020","8,04","8,32","8,36","7,96","105,76M","-3,37%"
"12.07.2020","8,32","8,01","8,32","8,00","76,62M","5,32%"
"05.07.2020","7,90","8,24","8,45","7,68","114,74M","-3,19%"
"28.06.2020","8,16","8,08","8,32","7,90","99,17M","0,87%"
"21.06.2020","8,09","7,82","8,21","7,77","121,73M","3,98%"
"14.06.2020","7,78","7,44","8,21","7,40","174,03M","3,32%"
"07.06.2020","7,53","7,72","7,78","7,36","59,61M","-2,08%"
"31.05.2020","7,69","7,50","7,72","7,47","73,07M","3,50%"
"24.05.2020","7,43","7,71","7,85","7,43","54,77M","-1,98%"
"17.05.2020","7,58","7,57","7,75","7,52","59,40M","1,47%"
"10.05.2020","7,47","6,99","7,63","6,90","183,41M","8,58%"
"03.05.2020","6,88","7,22","7,43","6,88","103,00M","-6,78%"
"26.04.2020","7,38","7,20","7,66","7,15","71,49M","4,24%"
"19.04.2020","7,08","6,83","7,23","6,78","68,72M","3,96%"
"12.04.2020","6,81","6,95","7,15","6,75","72,93M","-3,27%"
"05.04.2020","7,04","6,58","7,20","6,55","78,45M","8,47%"
"29.03.2020","6,49","6,53","6,81","6,44","53,37M","-1,07%"
"22.03.2020","6,56","6,00","7,13","5,81","117,17M","8,07%"
"15.03.2020","6,07","6,02","6,18","5,35","73,33M","-3,65%"
"08.03.2020","6,30","7,58","7,58","5,97","79,34M","-19,23%"
"01.03.2020","7,80","7,71","8,32","7,53","68,43M","3,59%"
"23.02.2020","7,53","8,56","8,64","6,83","92,82M","-13,05%"
"16.02.2020","8,66","8,30","8,68","8,10","105,37M","4,97%"
"09.02.2020","8,25","7,80","8,70","7,66","154,38M","5,10%"
"02.02.2020","7,85","7,75","8,18","7,68","58,62M","1,29%"
"26.01.2020","7,75","8,00","8,24","7,75","70,23M","-3,73%"
"19.01.2020","8,05","8,00","8,19","7,80","69,52M","0,63%"
"12.01.2020","8,00","7,91","8,32","7,88","74,54M","2,04%"
"05.01.2020","7,84","7,27","7,89","7,00","67,64M","7,84%"
"29.12.2019","7,27","7,37","7,50","7,20","34,86M","-1,22%"
"22.12.2019","7,36","7,16","7,48","7,13","34,45M","2,94%"
"15.12.2019","7,15","7,16","7,37","7,10","53,08M","-0,42%"
