"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","21,94","22,02","22,40","21,42","3,42M","-0,27%"
"29.11.2020","22,00","22,34","22,86","22,00","16,77M","-1,17%"
"22.11.2020","22,26","23,04","23,44","22,02","20,08M","-1,07%"
"15.11.2020","22,50","22,20","22,70","21,74","17,52M","3,12%"
"08.11.2020","21,82","21,90","22,72","21,62","18,62M","0,83%"
"01.11.2020","21,64","20,40","22,14","20,14","14,71M","7,02%"
"25.10.2020","20,22","23,36","23,36","19,98","7,81M","-13,81%"
"18.10.2020","23,46","24,60","25,04","23,34","8,29M","-4,24%"
"11.10.2020","24,50","23,84","25,00","23,66","8,12M","4,17%"
"04.10.2020","23,52","23,48","24,42","23,30","9,52M","1,38%"
"27.09.2020","23,20","22,76","23,64","22,30","9,46M","1,40%"
"20.09.2020","22,88","22,72","23,24","22,28","7,39M","0,88%"
"13.09.2020","22,68","22,42","23,10","22,26","6,85M","1,25%"
"06.09.2020","22,40","22,20","23,00","22,06","7,18M","1,36%"
"30.08.2020","22,10","23,16","23,34","21,88","9,24M","-4,58%"
"23.08.2020","23,16","22,96","23,42","22,52","10,27M","1,58%"
"16.08.2020","22,80","22,42","23,40","21,90","13,93M","1,60%"
"09.08.2020","22,44","22,10","24,16","21,48","19,96M","1,54%"
"02.08.2020","22,10","26,40","26,90","20,00","18,79M","-15,20%"
"26.07.2020","26,06","26,80","27,74","25,50","8,21M","-1,96%"
"19.07.2020","26,58","26,78","27,22","25,92","7,72M","-0,30%"
"12.07.2020","26,66","25,58","27,54","25,54","10,18M","5,21%"
"05.07.2020","25,34","24,92","26,94","24,72","21,09M","2,26%"
"28.06.2020","24,78","24,08","24,88","23,72","11,62M","3,16%"
"21.06.2020","24,02","25,04","25,24","23,54","7,65M","-3,77%"
"14.06.2020","24,96","23,50","26,00","23,44","15,31M","6,30%"
"07.06.2020","23,48","23,48","23,76","22,90","6,77M","1,21%"
"31.05.2020","23,20","23,86","24,10","23,02","5,75M","-1,69%"
"24.05.2020","23,60","23,80","24,50","23,60","5,98M","-0,25%"
"17.05.2020","23,66","23,56","24,48","23,30","7,85M","1,98%"
"10.05.2020","23,20","22,48","23,64","22,22","6,90M","3,48%"
"03.05.2020","22,42","23,30","24,08","21,80","11,14M","-5,40%"
"26.04.2020","23,70","24,48","25,00","23,02","10,97M","-2,07%"
"19.04.2020","24,20","23,00","25,16","22,20","15,50M","6,14%"
"12.04.2020","22,80","20,96","24,40","20,76","8,68M","8,16%"
"05.04.2020","21,08","20,78","21,68","20,54","3,99M","3,33%"
"29.03.2020","20,40","19,30","20,66","19,00","5,02M","5,70%"
"22.03.2020","19,30","18,95","20,46","18,78","7,61M","1,26%"
"15.03.2020","19,06","20,24","20,26","16,38","4,90M","-4,89%"
"08.03.2020","20,04","22,00","22,48","18,56","10,18M","-12,87%"
"01.03.2020","23,00","20,84","23,00","20,56","7,78M","12,30%"
"23.02.2020","20,48","22,00","22,82","19,00","5,52M","-8,57%"
"16.02.2020","22,40","23,56","23,76","21,96","4,06M","-4,52%"
"09.02.2020","23,46","23,96","24,20","22,54","3,97M","-1,92%"
"02.02.2020","23,92","23,22","24,46","23,20","5,17M","2,49%"
"26.01.2020","23,34","24,84","25,16","23,26","3,94M","-6,64%"
"19.01.2020","25,00","24,84","25,56","24,74","3,62M","1,21%"
"12.01.2020","24,70","25,00","25,26","24,52","5,03M","-0,96%"
"05.01.2020","24,94","22,40","25,08","21,90","5,71M","10,16%"
"29.12.2019","22,64","23,26","23,48","22,30","3,16M","-2,41%"
"22.12.2019","23,20","22,72","23,86","22,52","4,04M","5,94%"
"15.12.2019","21,90","21,72","22,32","21,42","3,18M","0,92%"
