"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","21,72","22,14","22,68","21,62","3,54M","-1,90%"
"29.11.2020","22,14","22,46","22,82","20,94","44,57M","-1,51%"
"22.11.2020","22,48","22,24","23,98","21,98","12,85M","1,35%"
"15.11.2020","22,18","22,64","22,82","21,38","10,99M","-1,86%"
"08.11.2020","22,60","21,64","22,90","21,20","13,11M","5,81%"
"01.11.2020","21,36","19,52","21,52","19,52","8,75M","9,93%"
"25.10.2020","19,43","22,76","22,76","19,43","6,31M","-15,30%"
"18.10.2020","22,94","23,20","23,48","22,36","6,94M","-0,52%"
"11.10.2020","23,06","22,10","23,06","22,08","6,94M","4,34%"
"04.10.2020","22,10","20,94","22,58","20,92","14,15M","5,74%"
"27.09.2020","20,90","20,82","21,18","20,50","6,01M","0,48%"
"20.09.2020","20,80","20,92","21,20","20,08","6,07M","-0,95%"
"13.09.2020","21,00","20,62","21,26","19,14","8,03M","1,94%"
"06.09.2020","20,60","20,16","20,82","19,71","7,67M","2,49%"
"30.08.2020","20,10","19,50","20,34","18,77","13,82M","2,87%"
"23.08.2020","19,54","19,83","20,10","19,29","6,91M","-1,31%"
"16.08.2020","19,80","20,16","20,30","19,27","8,39M","-1,79%"
"09.08.2020","20,16","18,60","20,80","18,13","11,08M","8,10%"
"02.08.2020","18,65","19,52","19,76","17,14","11,75M","-3,67%"
"26.07.2020","19,36","20,74","21,06","19,11","7,91M","-6,47%"
"19.07.2020","20,70","20,78","21,60","20,46","12,67M","-0,38%"
"12.07.2020","20,78","20,74","21,38","20,58","14,07M","-6,48%"
"05.07.2020","22,22","21,58","23,26","21,40","34,23M","4,12%"
"28.06.2020","21,34","21,08","21,78","20,96","20,46M","1,33%"
"21.06.2020","21,06","20,78","21,26","19,87","27,08M","2,23%"
"14.06.2020","20,60","19,16","20,64","19,07","32,50M","6,30%"
"07.06.2020","19,38","19,95","20,12","19,03","27,36M","-2,66%"
"31.05.2020","19,91","18,66","20,42","18,40","62,19M","7,39%"
"24.05.2020","18,54","18,35","19,20","18,15","37,55M","3,52%"
"17.05.2020","17,91","17,01","17,93","17,01","37,22M","5,73%"
"10.05.2020","16,94","17,04","17,46","16,80","12,42M","-0,59%"
"03.05.2020","17,04","18,25","18,42","16,90","16,14M","-7,29%"
"26.04.2020","18,38","18,18","18,59","18,15","15,13M","1,83%"
"19.04.2020","18,05","18,52","18,72","17,96","6,36M","-1,96%"
"12.04.2020","18,41","18,56","18,74","17,70","8,93M","-1,02%"
"05.04.2020","18,60","17,95","19,25","17,95","5,53M","3,85%"
"29.03.2020","17,91","17,42","18,28","16,98","6,90M","2,93%"
"22.03.2020","17,40","17,35","19,78","17,02","4,50M","-1,75%"
"15.03.2020","17,71","19,04","19,04","15,90","3,68M","-7,18%"
"08.03.2020","19,08","22,58","22,90","17,85","5,22M","-17,76%"
"01.03.2020","23,20","22,44","23,96","22,38","4,61M","5,74%"
"23.02.2020","21,94","23,88","24,84","21,94","6,10M","-9,93%"
"16.02.2020","24,36","24,72","25,28","23,66","3,08M","-0,98%"
"09.02.2020","24,60","25,72","25,98","24,28","3,34M","-4,28%"
"02.02.2020","25,70","24,84","25,98","24,68","3,49M","3,71%"
"26.01.2020","24,78","25,82","26,26","24,10","3,39M","-4,69%"
"19.01.2020","26,00","25,60","26,66","25,30","3,41M","1,64%"
"12.01.2020","25,58","23,74","25,58","23,74","6,11M","8,30%"
"05.01.2020","23,62","22,80","24,08","22,40","3,71M","2,34%"
"29.12.2019","23,08","23,52","23,88","22,50","2,90M","-1,11%"
"22.12.2019","23,34","22,40","23,94","22,38","4,29M","4,57%"
"15.12.2019","22,32","22,06","22,98","21,94","5,57M","1,27%"
