"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","6,31","6,13","6,37","6,02","110,12M","2,10%"
"29.11.2020","6,18","6,24","6,35","6,02","542,22M","-3,13%"
"22.11.2020","6,38","6,52","6,54","6,18","632,99M","-1,85%"
"15.11.2020","6,50","6,42","6,67","5,98","1,33B","3,01%"
"08.11.2020","6,31","5,26","6,52","5,21","1,47B","25,70%"
"01.11.2020","5,02","4,81","5,12","4,77","570,86M","5,24%"
"25.10.2020","4,77","5,01","5,01","4,75","271,54M","-5,73%"
"18.10.2020","5,06","5,24","5,47","5,01","638,42M","-2,69%"
"11.10.2020","5,20","5,18","5,22","5,06","345,78M","0,97%"
"04.10.2020","5,15","5,18","5,24","5,00","367,64M","0,00%"
"27.09.2020","5,15","5,12","5,27","4,94","485,66M","0,98%"
"20.09.2020","5,10","4,87","5,21","4,70","557,94M","4,72%"
"13.09.2020","4,87","4,93","4,93","4,84","199,81M","-1,02%"
"06.09.2020","4,92","4,93","4,99","4,88","291,87M","0,00%"
"30.08.2020","4,92","5,04","5,04","4,83","369,93M","-1,80%"
"23.08.2020","5,01","5,08","5,09","4,85","380,72M","-1,18%"
"16.08.2020","5,07","4,92","5,22","4,89","659,54M","2,84%"
"09.08.2020","4,93","4,72","5,13","4,68","754,07M","3,57%"
"02.08.2020","4,76","5,30","5,32","4,53","776,11M","-9,16%"
"26.07.2020","5,24","5,80","5,81","5,21","291,53M","-9,34%"
"19.07.2020","5,78","5,81","5,93","5,75","326,60M","-0,69%"
"12.07.2020","5,82","5,80","5,90","5,76","292,18M","1,22%"
"05.07.2020","5,75","5,97","6,14","5,66","558,72M","-2,54%"
"28.06.2020","5,90","5,90","6,17","5,86","555,35M","0,17%"
"21.06.2020","5,89","6,11","6,22","5,87","496,71M","-1,67%"
"14.06.2020","5,99","5,77","6,01","5,73","418,78M","3,10%"
"07.06.2020","5,81","5,94","5,99","5,74","322,98M","-1,86%"
"31.05.2020","5,92","5,75","5,92","5,71","380,95M","4,04%"
"24.05.2020","5,69","5,61","5,71","5,57","311,14M","3,08%"
"17.05.2020","5,52","5,50","5,55","5,46","221,94M","1,47%"
"10.05.2020","5,44","5,59","5,63","5,41","323,66M","-2,16%"
"03.05.2020","5,56","5,80","5,81","5,56","262,32M","-5,60%"
"26.04.2020","5,89","5,85","6,07","5,82","225,19M","2,61%"
"19.04.2020","5,74","5,81","5,84","5,65","162,43M","-0,86%"
"12.04.2020","5,79","5,97","6,14","5,60","393,86M","-5,39%"
"05.04.2020","6,12","5,53","6,25","5,46","306,34M","12,92%"
"29.03.2020","5,42","5,51","5,70","5,38","255,63M","-1,99%"
"22.03.2020","5,53","5,30","5,91","5,05","318,77M","0,18%"
"15.03.2020","5,52","6,11","6,25","5,50","194,63M","-14,42%"
"08.03.2020","6,45","7,10","7,22","6,24","165,77M","-11,52%"
"01.03.2020","7,29","6,97","7,62","6,81","178,23M","7,84%"
"23.02.2020","6,76","7,50","7,63","6,25","175,39M","-12,09%"
"16.02.2020","7,69","8,20","8,20","7,55","140,98M","-5,06%"
"09.02.2020","8,10","8,37","8,43","8,03","198,55M","-3,91%"
"02.02.2020","8,43","8,31","8,84","8,24","173,60M","2,06%"
"26.01.2020","8,26","8,56","8,69","8,20","161,64M","-5,71%"
"19.01.2020","8,76","8,85","8,99","8,58","163,40M","-0,68%"
"12.01.2020","8,82","8,82","8,95","8,62","193,91M","1,50%"
"05.01.2020","8,69","7,81","8,77","7,66","166,89M","9,45%"
"29.12.2019","7,94","8,24","8,33","7,90","86,93M","-3,41%"
"22.12.2019","8,22","8,15","8,37","8,11","43,30M","1,11%"
"15.12.2019","8,13","8,02","8,31","7,95","116,81M","1,37%"
