"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","11,12","11,00","11,33","10,79","6,09M","1,09%"
"29.11.2020","11,00","10,60","11,15","10,51","28,15M","3,77%"
"22.11.2020","10,60","9,95","10,64","9,95","36,78M","6,64%"
"15.11.2020","9,94","10,28","10,33","9,60","42,10M","-1,78%"
"08.11.2020","10,12","9,92","10,12","9,68","24,77M","2,95%"
"01.11.2020","9,83","8,99","9,91","8,99","24,93M","9,34%"
"25.10.2020","8,99","9,49","9,49","8,43","12,56M","-5,37%"
"18.10.2020","9,50","9,44","9,75","9,26","19,02M","0,74%"
"11.10.2020","9,43","9,41","9,68","9,21","21,17M","1,18%"
"04.10.2020","9,32","8,89","9,47","8,80","20,11M","5,43%"
"27.09.2020","8,84","8,69","9,04","8,62","12,33M","2,08%"
"20.09.2020","8,66","8,72","8,89","8,59","10,35M","-0,46%"
"13.09.2020","8,70","8,53","8,85","8,44","17,20M","1,99%"
"06.09.2020","8,53","8,21","8,75","8,13","19,34M","4,15%"
"30.08.2020","8,19","8,13","8,41","8,01","12,44M","0,74%"
"23.08.2020","8,13","8,48","8,54","8,08","12,33M","-4,13%"
"16.08.2020","8,48","8,63","9,10","8,35","39,96M","-1,74%"
"09.08.2020","8,63","8,50","9,00","8,40","16,64M","1,41%"
"02.08.2020","8,51","8,45","8,85","7,96","20,80M","2,65%"
"26.07.2020","8,29","8,48","8,74","8,29","17,13M","-1,89%"
"19.07.2020","8,45","8,76","8,85","8,39","12,74M","-3,54%"
"12.07.2020","8,76","8,70","8,87","8,61","12,00M","1,74%"
"05.07.2020","8,61","8,74","9,11","8,22","25,71M","-0,12%"
"28.06.2020","8,62","8,32","8,81","8,29","27,06M","3,73%"
"21.06.2020","8,31","8,22","8,48","8,20","21,32M","0,73%"
"14.06.2020","8,25","8,20","8,44","8,16","24,05M","-0,60%"
"07.06.2020","8,30","8,35","8,42","8,05","24,21M","-0,60%"
"31.05.2020","8,35","8,12","8,49","7,97","27,09M","2,83%"
"24.05.2020","8,12","8,15","8,24","7,82","15,83M","0,87%"
"17.05.2020","8,05","7,98","8,33","7,87","32,16M","2,68%"
"10.05.2020","7,84","7,48","7,89","7,40","37,75M","5,09%"
"03.05.2020","7,46","7,60","7,80","7,24","47,79M","-3,12%"
"26.04.2020","7,70","6,99","7,82","6,79","58,57M","11,59%"
"19.04.2020","6,90","6,41","7,11","6,24","40,54M","8,32%"
"12.04.2020","6,37","6,28","6,48","6,18","26,15M","0,79%"
"05.04.2020","6,32","6,46","6,58","6,14","34,39M","-1,56%"
"29.03.2020","6,42","5,70","6,49","5,64","29,90M","3,38%"
"22.03.2020","6,21","6,20","7,00","6,18","19,49M","-8,41%"
"15.03.2020","6,78","7,00","7,23","6,58","10,58M","-5,17%"
"08.03.2020","7,15","7,75","8,23","6,70","13,76M","-11,07%"
"01.03.2020","8,04","7,91","8,74","7,85","13,23M","3,21%"
"23.02.2020","7,79","8,22","8,29","6,88","17,31M","-5,46%"
"16.02.2020","8,24","8,61","8,76","7,93","27,92M","-3,51%"
"09.02.2020","8,54","8,30","8,90","7,76","40,88M","2,40%"
"02.02.2020","8,34","8,13","8,77","8,08","24,25M","2,84%"
"26.01.2020","8,11","7,96","8,20","7,76","16,25M","1,88%"
"19.01.2020","7,96","7,73","8,01","7,64","14,06M","3,11%"
"12.01.2020","7,72","7,95","8,04","7,67","13,23M","-1,91%"
"05.01.2020","7,87","7,29","7,88","6,94","14,58M","7,66%"
"29.12.2019","7,31","7,57","7,59","7,15","7,93M","-3,18%"
"22.12.2019","7,55","7,69","7,90","7,47","8,25M","-1,82%"
"15.12.2019","7,69","7,68","7,82","7,57","9,64M","0,26%"
