"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","1,270","1,300","1,320","1,260","72,86M","-2,31%"
"29.11.2020","1,300","1,290","1,360","1,270","699,89M","0,00%"
"22.11.2020","1,300","1,250","1,340","1,240","802,35M","4,00%"
"15.11.2020","1,250","1,280","1,290","1,220","370,99M","-0,79%"
"08.11.2020","1,260","1,270","1,330","1,220","503,04M","0,80%"
"01.11.2020","1,250","1,210","1,310","1,190","747,35M","3,31%"
"25.10.2020","1,210","1,350","1,350","1,120","406,41M","-11,03%"
"18.10.2020","1,360","1,460","1,490","1,330","669,00M","-21,84%"
"11.10.2020","1,740","1,570","1,740","1,550","725,80M","11,54%"
"04.10.2020","1,560","1,450","1,600","1,440","496,16M","8,33%"
"27.09.2020","1,440","1,470","1,480","1,410","246,83M","-1,37%"
"20.09.2020","1,460","1,450","1,580","1,380","531,24M","1,39%"
"13.09.2020","1,440","1,550","1,550","1,420","405,38M","-7,10%"
"06.09.2020","1,550","1,410","1,590","1,400","813,80M","10,71%"
"30.08.2020","1,400","1,480","1,480","1,360","468,05M","-5,41%"
"23.08.2020","1,480","1,570","1,600","1,450","307,72M","-5,13%"
"16.08.2020","1,560","1,480","1,650","1,460","111,55M","4,70%"
"09.08.2020","1,490","1,350","1,590","1,340","99,80M","2,76%"
"02.08.2020","1,450","1,740","1,750","1,280","345,74M","-14,71%"
"26.07.2020","1,700","1,780","1,900","1,610","1,06B","-3,95%"
"19.07.2020","1,770","1,810","1,840","1,710","774,18M","-2,21%"
"12.07.2020","1,810","1,700","1,880","1,690","805,84M","9,70%"
"05.07.2020","1,650","1,710","1,970","1,540","1,59B","-1,79%"
"28.06.2020","1,680","1,610","1,740","1,600","1,23B","5,00%"
"21.06.2020","1,600","1,520","1,660","1,480","1,17B","6,67%"
"14.06.2020","1,500","1,530","1,650","1,500","884,06M","-3,85%"
"07.06.2020","1,560","1,320","1,670","1,310","1,50B","19,08%"
"31.05.2020","1,310","1,240","1,400","1,240","752,29M","6,50%"
"24.05.2020","1,230","1,230","1,280","1,210","313,59M","2,50%"
"17.05.2020","1,200","1,170","1,240","1,160","438,71M","4,35%"
"10.05.2020","1,150","1,100","1,230","1,090","877,96M","4,55%"
"03.05.2020","1,100","1,040","1,140","1,040","519,33M","2,80%"
"26.04.2020","1,070","1,070","1,120","1,040","482,71M","1,90%"
"19.04.2020","1,050","1,060","1,120","1,050","403,64M","0,00%"
"12.04.2020","1,050","1,030","1,120","0,980","794,71M","0,00%"
"05.04.2020","1,050","1,030","1,100","1,010","619,25M","5,00%"
"29.03.2020","1,000","0,890","1,140","0,850","886,83M","11,11%"
"22.03.2020","0,900","0,710","0,920","0,680","650,70M","20,00%"
"15.03.2020","0,750","0,900","0,920","0,730","442,79M","-21,05%"
"08.03.2020","0,950","1,260","1,370","0,820","913,99M","-26,92%"
"01.03.2020","1,300","1,270","1,390","1,240","543,12M","7,44%"
"23.02.2020","1,210","1,170","1,450","1,040","1,15B","-1,63%"
"16.02.2020","1,230","1,390","1,400","1,130","720,88M","-10,87%"
"09.02.2020","1,380","1,240","1,410","1,160","1,19B","12,20%"
"02.02.2020","1,230","1,140","1,260","1,130","683,75M","7,89%"
"26.01.2020","1,140","1,150","1,210","1,120","353,79M","-2,56%"
"19.01.2020","1,170","1,160","1,250","1,150","563,33M","2,63%"
"12.01.2020","1,140","1,140","1,160","1,070","290,90M","1,79%"
"05.01.2020","1,120","1,080","1,170","0,960","394,71M","0,00%"
"29.12.2019","1,120","1,090","1,260","1,080","758,43M","2,75%"
"22.12.2019","1,090","0,980","1,190","0,980","965,46M","12,37%"
"15.12.2019","0,970","0,870","0,970","0,860","363,83M","11,49%"
