"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","12,410","12,110","12,510","11,870","94,52M","1,97%"
"29.11.2020","12,170","11,770","12,640","11,400","904,77M","2,01%"
"22.11.2020","11,930","12,040","12,360","11,730","1,01B","0,42%"
"15.11.2020","11,880","11,600","12,200","11,450","887,98M","3,30%"
"08.11.2020","11,500","9,830","12,150","9,780","1,39B","18,43%"
"01.11.2020","9,710","9,030","9,990","9,030","516,48M","7,65%"
"25.10.2020","9,020","10,300","10,300","8,850","184,25M","-13,02%"
"18.10.2020","10,370","10,560","10,700","10,320","216,02M","-1,71%"
"11.10.2020","10,550","10,790","10,860","10,470","235,22M","-1,95%"
"04.10.2020","10,760","10,700","10,820","10,550","234,18M","1,32%"
"27.09.2020","10,620","10,460","10,990","10,240","493,03M","1,53%"
"20.09.2020","10,460","10,590","10,680","10,270","207,90M","-1,78%"
"13.09.2020","10,650","10,940","11,070","10,550","139,27M","-2,56%"
"06.09.2020","10,930","10,550","11,080","10,530","316,18M","3,70%"
"30.08.2020","10,540","10,990","11,010","10,290","251,68M","-4,18%"
"23.08.2020","11,000","11,080","11,500","10,970","315,98M","-0,99%"
"16.08.2020","11,110","11,140","11,530","10,930","235,31M","-0,27%"
"09.08.2020","11,140","10,610","12,060","10,430","604,84M","3,63%"
"02.08.2020","10,750","10,700","11,280","9,710","306,96M","0,56%"
"26.07.2020","10,690","11,850","11,850","10,650","182,42M","-8,94%"
"19.07.2020","11,740","11,900","12,010","11,690","297,45M","-1,59%"
"12.07.2020","11,930","11,900","12,280","11,780","283,68M","0,85%"
"05.07.2020","11,830","12,110","12,130","11,300","453,41M","-0,76%"
"28.06.2020","11,920","12,480","12,650","11,870","388,10M","-4,41%"
"21.06.2020","12,470","12,600","12,820","12,260","303,36M","-0,40%"
"14.06.2020","12,520","12,640","12,770","12,420","262,68M","-1,88%"
"07.06.2020","12,760","12,730","12,880","12,280","285,95M","0,31%"
"31.05.2020","12,720","12,940","13,150","12,420","363,78M","0,95%"
"24.05.2020","12,600","11,580","13,300","11,560","450,13M","12,40%"
"17.05.2020","11,210","10,750","11,240","10,720","292,18M","5,95%"
"10.05.2020","10,580","10,660","10,810","10,500","181,99M","-0,19%"
"03.05.2020","10,600","10,500","10,930","10,450","206,88M","-0,84%"
"26.04.2020","10,690","10,420","10,890","10,410","328,84M","4,09%"
"19.04.2020","10,270","10,540","10,670","10,190","204,27M","-2,38%"
"12.04.2020","10,520","9,770","11,280","9,670","780,02M","7,35%"
"05.04.2020","9,800","9,090","9,960","9,060","497,15M","9,74%"
"29.03.2020","8,930","8,690","9,300","8,350","336,67M","0,79%"
"22.03.2020","8,860","7,600","9,560","7,470","661,31M","11,03%"
"15.03.2020","7,980","8,510","8,770","7,410","520,30M","-12,69%"
"08.03.2020","9,140","10,900","10,960","8,140","520,11M","-17,95%"
"01.03.2020","11,140","11,980","12,220","11,100","478,23M","-5,19%"
"23.02.2020","11,750","14,030","14,060","10,260","1,00B","-19,08%"
"16.02.2020","14,520","15,110","15,330","14,170","594,34M","-2,48%"
"09.02.2020","14,890","14,400","15,150","13,900","804,68M","2,90%"
"02.02.2020","14,470","13,740","14,920","13,610","675,77M","5,77%"
"26.01.2020","13,680","14,190","14,350","13,580","595,80M","-5,91%"
"19.01.2020","14,540","15,080","15,250","14,240","619,32M","-3,26%"
"12.01.2020","15,030","14,530","15,260","14,470","839,37M","4,38%"
"05.01.2020","14,400","14,030","14,440","13,030","845,84M","0,98%"
"29.12.2019","14,260","14,130","14,840","14,080","445,92M","2,22%"
"22.12.2019","13,950","13,760","14,080","13,690","222,97M","1,38%"
"15.12.2019","13,760","13,840","14,110","13,660","415,51M","-0,43%"
