"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","152,50","146,00","166,00","141,70","885,90K","4,81%"
"29.11.2020","145,50","140,30","145,50","135,50","1,59M","3,19%"
"22.11.2020","141,00","144,50","148,80","137,40","1,81M","-2,29%"
"15.11.2020","144,30","131,50","146,20","130,20","3,18M","11,09%"
"08.11.2020","129,90","131,40","136,20","123,50","3,59M","-0,08%"
"01.11.2020","130,00","112,90","131,40","110,40","4,68M","15,25%"
"25.10.2020","112,80","119,70","120,70","105,20","1,60M","-5,37%"
"18.10.2020","119,20","119,40","124,20","115,60","1,96M","-0,17%"
"11.10.2020","119,40","109,50","125,60","107,50","2,62M","11,69%"
"04.10.2020","106,90","101,50","106,90","99,90","1,69M","6,26%"
"27.09.2020","100,60","98,95","102,50","94,80","1,49M","3,18%"
"20.09.2020","97,50","100,00","100,80","94,90","953,95K","-2,45%"
"13.09.2020","99,95","101,00","104,40","99,70","1,10M","-0,74%"
"06.09.2020","100,70","92,00","103,70","92,00","1,49M","9,52%"
"30.08.2020","91,95","93,35","95,05","90,00","681,64K","-1,66%"
"23.08.2020","93,50","89,10","95,85","86,50","1,39M","5,06%"
"16.08.2020","89,00","95,40","97,95","87,30","1,58M","-6,56%"
"09.08.2020","95,25","96,50","106,70","91,70","1,77M","-1,30%"
"02.08.2020","96,50","110,00","113,00","83,85","2,42M","-10,65%"
"26.07.2020","108,00","101,00","113,00","99,50","2,30M","7,04%"
"19.07.2020","100,90","102,20","102,20","94,35","1,56M","0,80%"
"12.07.2020","100,10","91,35","104,30","89,65","1,72M","11,66%"
"05.07.2020","89,65","83,15","93,40","83,15","2,76M","9,33%"
"28.06.2020","82,00","78,80","83,80","77,15","1,76M","4,46%"
"21.06.2020","78,50","69,65","80,60","69,00","2,59M","13,03%"
"14.06.2020","69,45","68,80","72,40","66,90","1,90M","0,65%"
"07.06.2020","69,00","64,10","69,90","63,75","3,16M","8,32%"
"31.05.2020","63,70","61,50","64,40","61,40","1,34M","4,26%"
"24.05.2020","61,10","61,00","62,45","60,65","650,34K","0,33%"
"17.05.2020","60,90","63,00","63,20","60,70","921,79K","-1,62%"
"10.05.2020","61,90","56,50","64,40","55,95","1,76M","10,04%"
"03.05.2020","56,25","56,00","57,70","53,30","1,60M","-1,57%"
"26.04.2020","57,15","58,00","59,20","55,10","2,01M","4,96%"
"19.04.2020","54,45","50,65","56,20","50,40","1,11M","8,14%"
"12.04.2020","50,35","47,80","52,20","47,24","839,20K","4,90%"
"05.04.2020","48,00","43,00","49,68","42,74","1,08M","14,29%"
"29.03.2020","42,00","39,56","44,30","38,46","659,87K","6,17%"
"22.03.2020","39,56","38,02","42,00","37,40","606,17K","-2,08%"
"15.03.2020","40,40","44,89","44,89","38,68","418,57K","-16,70%"
"08.03.2020","48,50","57,95","57,95","45,20","998,26K","-17,80%"
"01.03.2020","59,00","60,10","62,10","58,00","497,12K","-0,51%"
"23.02.2020","59,30","61,00","63,80","55,55","715,20K","-3,42%"
"16.02.2020","61,40","60,25","62,40","58,55","959,77K","2,33%"
"09.02.2020","60,00","62,40","62,95","57,20","1,00M","-4,08%"
"02.02.2020","62,55","60,00","63,30","59,25","740,86K","3,73%"
"26.01.2020","60,30","57,90","61,50","56,60","778,32K","3,08%"
"19.01.2020","58,50","59,35","60,10","57,00","546,56K","-1,10%"
"12.01.2020","59,15","59,20","60,35","56,90","646,38K","0,25%"
"05.01.2020","59,00","53,00","59,50","51,60","1,07M","8,66%"
"29.12.2019","54,30","54,75","56,80","51,90","519,05K","-0,55%"
"22.12.2019","54,60","50,50","54,85","50,45","678,90K","7,91%"
"15.12.2019","50,60","51,05","51,65","50,10","446,96K","-0,88%"
