"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.12.2020","21,900","20,220","22,200","20,020","9,26M","7,67%"
"29.11.2020","20,340","20,400","20,960","19,920","20,50M","-1,64%"
"22.11.2020","20,680","20,100","21,200","19,610","29,34M","3,40%"
"15.11.2020","20,000","20,600","20,760","19,110","26,80M","-0,30%"
"08.11.2020","20,060","19,290","21,140","19,190","50,02M","4,53%"
"01.11.2020","19,190","16,600","19,240","16,360","27,99M","15,81%"
"25.10.2020","16,570","18,200","18,520","16,160","20,30M","-8,86%"
"18.10.2020","18,180","18,470","18,790","18,000","25,54M","-0,98%"
"11.10.2020","18,360","17,580","18,970","17,570","33,35M","5,09%"
"04.10.2020","17,470","17,260","17,750","17,200","27,45M","1,93%"
"27.09.2020","17,140","16,780","17,640","16,600","21,15M","2,27%"
"20.09.2020","16,760","17,470","17,500","16,730","12,71M","-3,84%"
"13.09.2020","17,430","17,550","17,640","16,790","14,61M","-0,40%"
"06.09.2020","17,500","18,300","18,460","17,200","15,60M","-4,37%"
"30.08.2020","18,300","17,950","19,120","17,850","28,25M","1,89%"
"23.08.2020","17,960","17,000","18,270","16,190","25,88M","5,52%"
"16.08.2020","17,020","15,940","17,840","15,700","31,35M","5,71%"
"09.08.2020","16,100","15,730","17,200","15,280","10,44M","2,35%"
"02.08.2020","15,730","17,800","17,950","13,680","13,57M","-10,22%"
"26.07.2020","17,520","18,050","18,340","17,200","21,03M","-2,61%"
"19.07.2020","17,990","17,490","18,020","17,030","29,98M","2,68%"
"12.07.2020","17,520","16,580","18,330","16,580","62,29M","7,09%"
"05.07.2020","16,360","16,500","17,020","15,740","36,16M","-0,18%"
"28.06.2020","16,390","16,150","16,670","16,040","18,92M","1,49%"
"21.06.2020","16,150","16,360","17,000","15,960","24,04M","-0,68%"
"14.06.2020","16,260","14,970","17,320","14,770","48,69M","7,68%"
"07.06.2020","15,100","13,680","15,260","13,590","62,73M","10,62%"
"31.05.2020","13,650","14,250","14,390","13,540","28,66M","-3,67%"
"24.05.2020","14,170","13,760","14,280","13,520","22,12M","4,04%"
"17.05.2020","13,620","13,240","14,120","13,200","39,49M","3,89%"
"10.05.2020","13,110","12,780","13,410","12,460","45,12M","2,66%"
"03.05.2020","12,770","13,000","13,650","12,720","36,74M","-3,40%"
"26.04.2020","13,220","11,800","13,560","11,780","45,93M","13,18%"
"19.04.2020","11,680","11,330","12,040","11,190","23,91M","3,36%"
"12.04.2020","11,300","10,650","11,830","10,500","39,20M","2,73%"
"05.04.2020","11,000","10,500","11,200","10,380","37,14M","7,84%"
"29.03.2020","10,200","10,150","10,850","10,020","17,74M","0,99%"
"22.03.2020","10,100","8,980","10,940","8,940","39,76M","5,98%"
"15.03.2020","9,530","9,800","10,060","8,380","24,32M","-3,74%"
"08.03.2020","9,900","12,880","12,940","8,550","16,87M","-25,11%"
"01.03.2020","13,220","14,640","15,150","13,090","20,49M","-5,57%"
"23.02.2020","14,000","16,050","16,640","13,020","20,53M","-14,63%"
"16.02.2020","16,400","17,250","17,680","15,550","29,10M","-3,02%"
"09.02.2020","16,910","15,730","17,840","15,000","57,25M","7,23%"
"02.02.2020","15,770","14,000","17,160","13,910","70,29M","13,37%"
"26.01.2020","13,910","14,150","14,320","13,550","12,64M","-1,97%"
"19.01.2020","14,190","14,400","14,730","14,150","16,21M","-1,18%"
"12.01.2020","14,360","14,240","15,110","14,030","30,13M","1,48%"
"05.01.2020","14,150","13,140","14,540","13,000","44,23M","6,63%"
"29.12.2019","13,270","13,120","13,320","12,600","26,61M","1,53%"
"22.12.2019","13,070","13,460","14,510","13,050","69,21M","-2,10%"
"15.12.2019","13,350","12,830","13,670","12,760","61,01M","4,30%"
